TransactionAmt,Source,Target,Date
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39027,2011
1,39059,39077,2011
1,39059,39075,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39027,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39027,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39027,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39027,2011
1,39059,39027,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39027,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39027,2011
1,39059,39059,2011
1,39059,39027,2011
1,39059,39027,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39027,2011
1,39059,39027,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39077,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39077,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39065,39059,2011
1,39065,39075,2011
1,39065,39059,2011
1,39065,39075,2011
1,39065,39075,2011
1,39065,39075,2011
1,39065,39075,2011
1,39065,39075,2011
1,39065,39075,2011
1,39065,39077,2011
1,39065,39059,2011
1,39065,39059,2011
1,39065,39075,2011
1,39065,39075,2011
1,39065,39075,2011
1,39065,39059,2011
1,39065,39075,2011
1,39065,39059,2011
1,39065,39059,2011
1,39065,39059,2011
1,39065,39075,2011
1,39065,39075,2011
1,39065,39059,2011
1,39065,39059,2011
1,39065,39059,2011
4,39070,39059,2011
3,39070,39059,2011
1,39070,39059,2011
1,39070,39059,2011
1,39070,39059,2011
1,39070,39075,2011
1,39070,39075,2011
1,39070,39075,2011
1,39070,39059,2011
1,39070,39075,2011
1,39070,39075,2011
1,39070,39059,2011
1,39070,39075,2011
1,39070,39075,2011
1,39070,39059,2011
1,39070,39075,2011
1,39070,39059,2011
1,39070,39059,2011
3,39077,39059,2011
3,39077,39075,2011
1,39077,39075,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39059,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39059,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39027,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39059,2011
1,39077,39059,2011
1,39077,39059,2011
1,39077,39059,2011
1,39077,39027,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39075,2011
1,39077,39059,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39077,2011
1,39077,39059,2011
1,39077,39075,2011
1,39077,39027,2011
1,39077,39059,2011
1,39077,39059,2011
1,39077,39059,2011
4,39092,39075,2011
4,39092,39059,2011
4,39092,39075,2011
4,39092,39075,2011
4,39092,39059,2011
4,39092,39059,2011
4,39092,39059,2011
4,39092,39059,2011
4,39092,39059,2011
5,39092,39059,2011
3,39092,39075,2011
3,39092,39059,2011
3,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39077,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39027,2011
1,39092,39075,2011
1,39092,39077,2011
1,39092,39059,2011
1,39092,39077,2011
1,39092,39077,2011
1,39092,39027,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39075,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
1,39092,39059,2011
3,39093,39075,2011
1,39093,39059,2011
1,39093,39059,2011
1,39093,39075,2011
1,39093,39059,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39059,2011
1,39093,39059,2011
1,39093,39059,2011
1,39093,39059,2011
1,39093,39077,2011
1,39093,39059,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39059,2011
1,39093,39075,2011
1,39093,39075,2011
1,39093,39059,2011
1,39093,39059,2011
1,39093,39059,2011
1,39093,39075,2011
5,39027,39075,2012
5,39027,39059,2012
4,39027,39059,2012
4,39027,39059,2012
4,39027,39075,2012
4,39027,39075,2012
4,39027,39075,2012
5,39027,39059,2012
5,39027,39059,2012
4,39027,39059,2012
4,39027,39075,2012
4,39027,39059,2012
4,39027,39059,2012
4,39027,39059,2012
4,39027,39059,2012
3,39027,39059,2012
3,39027,39059,2012
3,39027,39059,2012
3,39027,39075,2012
3,39027,39075,2012
3,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39077,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39027,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39077,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39077,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39027,2012
1,39027,39059,2012
1,39027,39077,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39027,2012
1,39027,39027,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39027,2012
1,39027,39075,2012
1,39027,39027,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39077,2012
1,39027,39075,2012
1,39027,39077,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39027,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39077,2012
1,39027,39077,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39075,2012
1,39027,39059,2012
1,39027,39059,2012
5,39017,39059,2012
4,39017,39075,2012
4,39017,39059,2012
5,39017,39059,2012
3,39017,39077,2012
1,39017,39075,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39027,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39077,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39075,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39059,2012
1,39017,39075,2012
1,39017,39077,2012
1,39017,39075,2012
1,39017,39077,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
1,39017,39059,2012
4,39032,39059,2012
4,39032,39059,2012
4,39032,39075,2012
4,39032,39075,2012
4,39032,39059,2012
4,39032,39077,2012
4,39032,39075,2012
3,39032,39075,2012
3,39032,39075,2012
3,39032,39059,2012
3,39032,39059,2012
3,39032,39059,2012
3,39032,39059,2012
3,39032,39059,2012
3,39032,39059,2012
3,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39027,2012
1,39032,39077,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39077,2012
1,39032,39075,2012
1,39032,39077,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39077,2012
1,39032,39077,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39075,2012
1,39032,39077,2012
1,39032,39075,2012
1,39032,39075,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
1,39032,39059,2012
